DBN,School Name,Year,% English Language Learners
02M047,47 The American Sign Language and English Secondar,2020-21,0.06756756454706192
02M047,47 The American Sign Language and English Secondar,2021-22,0.0381355918943882
02M047,47 The American Sign Language and English Secondar,2022-23,0.04020100459456444
02M051,P.S. 051 Elias Howe,2018-19,0.07276507467031479
02M051,P.S. 051 Elias Howe,2019-20,0.07377049326896667
02M051,P.S. 051 Elias Howe,2020-21,0.08565310388803482
02M051,P.S. 051 Elias Howe,2021-22,0.08139535039663315
02M051,P.S. 051 Elias Howe,2022-23,0.2649572789669037
02M059,P.S. 059 Beekman Hill International,2018-19,0.046822741627693176
02M059,P.S. 059 Beekman Hill International,2019-20,0.0626959279179573
02M059,P.S. 059 Beekman Hill International,2020-21,0.063032366335392
02M059,P.S. 059 Beekman Hill International,2021-22,0.06839186698198318
02M059,P.S. 059 Beekman Hill International,2022-23,0.07421875
02M077,P.S. 77 Lower Lab School,2018-19,0
02M077,P.S. 77 Lower Lab School,2019-20,0.005524862091988325
02M077,P.S. 77 Lower Lab School,2020-21,0.011396011337637901
02M077,P.S. 77 Lower Lab School,2021-22,0.008670520037412643
02M077,P.S. 77 Lower Lab School,2022-23,0.005376344081014395
02M089,P.S. 89,2018-19,0.061403509229421616
02M089,P.S. 89,2019-20,0.07488986849784851
02M089,P.S. 89,2020-21,0.07647059112787247
02M089,P.S. 89,2021-22,0.05763688683509827
02M089,P.S. 89,2022-23,0.038235295563936234
02M104,J.H.S. 104 Simon Baruch,2018-19,0.04838709533214569
02M104,J.H.S. 104 Simon Baruch,2019-20,0.020890099927783012
02M104,J.H.S. 104 Simon Baruch,2020-21,0.04129793494939804
02M104,J.H.S. 104 Simon Baruch,2021-22,0.03090507723391056
02M104,J.H.S. 104 Simon Baruch,2022-23,0.042458102107048035
02M111,P.S. 111 Adolph S. Ochs,2018-19,0.09927360713481903
02M111,P.S. 111 Adolph S. Ochs,2019-20,0.10730593651533127
02M111,P.S. 111 Adolph S. Ochs,2020-21,0.10101009905338287
