DBN,School Name,Grade,Year,% Level 3+4
01M134,P.S. 134 HENRIETTA SZOLD,3,2016,22.857143399999998
01M134,P.S. 134 HENRIETTA SZOLD,4,2016,20.930233
01M134,P.S. 134 HENRIETTA SZOLD,5,2016,47.05882263
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2016,29.4642849
01M134,P.S. 134 HENRIETTA SZOLD,3,2015,18.6046505
01M134,P.S. 134 HENRIETTA SZOLD,4,2015,17.142856600000002
01M134,P.S. 134 HENRIETTA SZOLD,5,2015,15.38461494
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2015,17.09401703
01M134,P.S. 134 HENRIETTA SZOLD,3,2014,20.45454597
01M134,P.S. 134 HENRIETTA SZOLD,4,2014,11.90476227
01M134,P.S. 134 HENRIETTA SZOLD,5,2014,9.615385056
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2014,13.768116
01M134,P.S. 134 HENRIETTA SZOLD,3,2013,10
01M134,P.S. 134 HENRIETTA SZOLD,4,2013,13.55932236
01M134,P.S. 134 HENRIETTA SZOLD,5,2013,7.894736767
01M134,P.S. 134 HENRIETTA SZOLD,All Grades,2013,10.88435364
01M140,P.S. 140 NATHAN STRAUS,3,2023,11.11111069
01M140,P.S. 140 NATHAN STRAUS,4,2023,25
01M140,P.S. 140 NATHAN STRAUS,5,2023,28.5714283
01M140,P.S. 140 NATHAN STRAUS,6,2023,22.58064461
01M140,P.S. 140 NATHAN STRAUS,7,2023,32.07546997
01M140,P.S. 140 NATHAN STRAUS,8,2023,57.5
01M140,P.S. 140 NATHAN STRAUS,All Grades,2023,33.90804672
01M140,P.S. 140 NATHAN STRAUS,3,2022,33.33333206
01M140,P.S. 140 NATHAN STRAUS,4,2022,31.81818199
01M140,P.S. 140 NATHAN STRAUS,5,2022,16.66666603
01M140,P.S. 140 NATHAN STRAUS,6,2022,33.33333206
01M140,P.S. 140 NATHAN STRAUS,7,2022,48.64864731
01M140,P.S. 140 NATHAN STRAUS,8,2022,37.77777863
01M140,P.S. 140 NATHAN STRAUS,All Grades,2022,35.63829803
01M140,P.S. 140 NATHAN STRAUS,3,2019,17.64705849
01M140,P.S. 140 NATHAN STRAUS,4,2019,23.52941132
01M140,P.S. 140 NATHAN STRAUS,5,2019,15.78947353
01M140,P.S. 140 NATHAN STRAUS,6,2019,28.84615326
01M140,P.S. 140 NATHAN STRAUS,7,2019,31.66666603
01M140,P.S. 140 NATHAN STRAUS,8,2019,25.49019623
01M140,P.S. 140 NATHAN STRAUS,All Grades,2019,26.38888931
01M140,P.S. 140 NATHAN STRAUS,3,2018,10
01M140,P.S. 140 NATHAN STRAUS,4,2018,15
01M140,P.S. 140 NATHAN STRAUS,5,2018,16
01M140,P.S. 140 NATHAN STRAUS,6,2018,38.59649277
01M140,P.S. 140 NATHAN STRAUS,7,2018,18.75
01M140,P.S. 140 NATHAN STRAUS,8,2018,31.57894707
