"Administrative District",Year,"Total Enrollment","Grade 3K","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Neither Female nor Male","% Neither Female nor Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multi-Racial","% Multi-Racial","# Native American","% Native American","# White","% White","# Missing Race/Ethnicity Data","% Missing Race/Ethnicity Data","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
06,2020-21,20670,939,1512,1309,1341,1400,1430,1526,1522,1388,1424,1531,1627,1308,1126,1287,10184,0.4926947355270386,10486,0.5073052644729614,,,321,0.015529753640294075,1492,0.07218190282583237,17000,0.8224480152130127,316,0.015287856571376324,61,0.0029511370230466127,1316,0.06366714835166931,164,0.007934204302728176,4375,0.21165941655635834,5014,0.2425737828016281,17179,0.8311079144477844,0.8275165557861328
06,2021-22,19424,1190,1362,1203,1241,1236,1321,1354,1394,1272,1330,1376,1543,1351,1170,1081,9561,0.49222612380981445,9863,0.5077738761901855,,,283,0.014569604769349098,1483,0.07634884864091873,15957,0.8215094804763794,267,0.013745881617069244,55,0.002831548685207963,1231,0.06337520480155945,148,0.0076194400899112225,4138,0.21303541958332062,4891,0.25180190801620483,15809,0.8138900399208069,0.8071084022521973
06,2022-23,18521,1102,1346,1202,1183,1218,1195,1312,1264,1157,1277,1335,1401,1382,1055,1092,9098,0.4912261664867401,9422,0.508719801902771,1,5.3992764151189476E-05,242,0.013066248968243599,1412,0.07623778283596039,15001,0.8099454641342163,272,0.014686032198369503,50,0.0026996382512152195,1247,0.06732897460460663,297,0.01603585109114647,4000,0.21597105264663696,4543,0.2452891319990158,15040,0.8120511770248413,0.8111832737922668
07,2018-19,19359,794,1321,1029,1114,1172,1218,1291,1208,1118,1075,1228,1731,1877,1542,1641,9108,0.4704788327217102,10251,0.5295211672782898,,,222,0.011467534117400646,5109,0.2639082670211792,13462,0.6953871846199036,69,0.003564233658835292,163,0.008419856429100037,302,0.01559997908771038,32,0.0016529778949916363,4693,0.2424195408821106,3063,0.15822097659111023,17740,0.9163696765899658,0.9217584133148193
07,2019-20,18778,1072,1260,1021,1037,1095,1103,1200,1242,1036,1116,1063,1822,1697,1573,1441,8860,0.47182872891426086,9918,0.5281712412834167,,,205,0.010917030274868011,4905,0.2612099349498749,13014,0.6930450797080994,81,0.004313558340072632,170,0.00905314739793539,293,0.015603365376591682,110,0.005857918877154589,4580,0.24390244483947754,2731,0.1454361528158188,17148,0.9131962656974792,0.9273759722709656
07,2020-21,17533,745,1120,857,964,994,1060,1051,1156,1064,1035,1078,1738,1821,1513,1337,8230,0.469400554895401,9303,0.5305994153022766,,,198,0.011292990297079086,4581,0.2612787187099457,12140,0.6924086213111877,83,0.004733930341899395,164,0.009353790432214737,272,0.015513602644205093,95,0.00541835417971015,4292,0.2447955310344696,2684,0.15308275818824768,16092,0.9178121089935303,0.9270176291465759
07,2021-22,16032,736,934,814,792,827,920,961,974,923,974,976,1768,1692,1365,1376,7645,0.47685879468917847,8387,0.5231412053108215,,,169,0.010541416704654694,4284,0.2672155797481537,11037,0.6884356141090393,69,0.004303892143070698,170,0.010603792034089565,259,0.016155188903212547,44,0.002744511002674699,4011,0.25018712878227234,2432,0.1516966074705124,14751,0.920097291469574,0.921363353729248
07,2022-23,15262,737,924,771,799,788,815,911,974,838,913,958,1574,1639,1328,1293,7218,0.47293931245803833,8044,0.5270606875419617,0,0,164,0.010745642706751823,4108,0.2691652476787567,10329,0.6767789125442505,72,0.004717599134892225,167,0.010942209511995316,249,0.016315029934048653,173,0.0113353431224823,3811,0.24970515072345734,2291,0.1501113921403885,14025,0.9189490079879761,0.9260192513465881
08,2018-19,28039,0,2066,1867,1943,2024,2099,2201,2141,2085,2103,2160,2039,1956,1580,1775,13628,0.48603731393814087,14411,0.5139626860618591,,,1759,0.06273405253887177,5998,0.2139163315296173,18142,0.6470273733139038,108,0.0038517778739333153,310,0.011056029237806797,1663,0.059310246258974075,59,0.002104212064296007,6776,0.24166339635849,3795,0.13534720242023468,23333,0.8321623206138611,0.8307576775550842
08,2019-20,27411,814,1963,1802,1848,1887,1972,2075,2157,1978,2063,2102,2080,1722,1550,1398,13394,0.48863595724105835,14017,0.5113640427589417,,,1850,0.06749115139245987,5639,0.20572033524513245,17673,0.6447411775588989,125,0.004560213070362806,302,0.011017474345862865,1603,0.05848017334938049,219,0.007989493198692799,6306,0.2300536334514618,3556,0.12972894310951233,22870,0.8343365788459778,0.8445844650268555
